Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2017-01-01,Pharmacy,All,All,1035.0,20.0,6.0,84842.0,26738.0,35283.0,20814.0,40436.0,17591.0,62021.0,28.362973831444187,65.1972718917786,2.9797732295570287,43.111204269521615,56.88879573047838
2018-01-01,Pharmacy,All,All,1080.0,51.0,4.0,87306.0,29735.0,38859.0,24877.0,42566.0,19011.0,68594.0,27.71525206286264,62.05499023238185,2.7573260441371548,43.34927253112517,56.65072746887483
2019-01-01,Pharmacy,All,All,1218.0,113.0,3.0,94841.0,32016.0,45523.0,26960.0,37592.0,21036.0,77539.0,27.1295735049459,48.48140935529218,2.8760756676557864,41.29018945304943,58.70981054695057
2020-01-01,Pharmacy,All,All,1609.0,113.0,3.0,124649.0,30982.0,46296.0,37435.0,24201.0,18639.0,77278.0,24.119413028287482,31.316804265120734,2.064324829704822,40.09161727787986,59.90838272212014
2021-01-01,Pharmacy,All,All,1013.0,13.0,1.0,81651.0,20252.0,27653.0,31353.0,30412.0,11309.0,47905.0,23.607139129527187,63.4839787078593,1.5279239626192072,42.27533660369481,57.72466339630519
2013-01-01,Pharmacy,Government,Andhra Pradesh,4.0,0.0,0.0,260.0,101.0,56.0,58.0,105.0,44.0,157.0,28.02547770700637,66.87898089171973,2.706896551724138,64.3312101910828,35.6687898089172
2014-01-01,Pharmacy,Government,Andhra Pradesh,5.0,1.0,0.0,320.0,166.0,85.0,91.0,176.0,42.0,251.0,16.733067729083665,70.1195219123506,2.758241758241758,66.13545816733067,33.86454183266932
2015-01-01,Pharmacy,Government,Andhra Pradesh,5.0,0.0,0.0,320.0,134.0,74.0,96.0,150.0,36.0,208.0,17.307692307692307,72.11538461538461,2.1666666666666665,64.42307692307693,35.57692307692308
2016-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,380.0,143.0,91.0,96.0,201.0,71.0,234.0,30.34188034188034,85.8974358974359,2.4375,61.111111111111114,38.88888888888889
2017-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,380.0,155.0,86.0,108.0,280.0,90.0,241.0,37.344398340248965,116.1825726141079,2.2314814814814814,64.31535269709543,35.684647302904565
2018-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,360.0,182.0,110.0,109.0,239.0,45.0,292.0,15.41095890410959,81.84931506849315,2.6788990825688073,62.328767123287676,37.67123287671233
2019-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,360.0,184.0,126.0,123.0,252.0,78.0,310.0,25.161290322580644,81.29032258064515,2.5203252032520327,59.354838709677416,40.64516129032258
2020-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,360.0,260.0,125.0,151.0,207.0,55.0,385.0,14.285714285714285,53.76623376623376,2.5496688741721854,67.53246753246754,32.467532467532465
2021-01-01,Pharmacy,Government,Andhra Pradesh,6.0,0.0,0.0,400.0,231.0,122.0,148.0,272.0,43.0,353.0,12.181303116147308,77.05382436260622,2.385135135135135,65.43909348441926,34.56090651558073
2013-01-01,Pharmacy,Private,Andhra Pradesh,118.0,1.0,0.0,11640.0,4135.0,3006.0,4269.0,4744.0,1538.0,7141.0,21.537599775941747,66.43327265088924,1.672757085968611,57.905055314381734,42.094944685618266
2014-01-01,Pharmacy,Private,Andhra Pradesh,116.0,1.0,0.0,12150.0,3846.0,2629.0,6181.0,4231.0,1476.0,6475.0,22.795366795366796,65.34362934362935,1.0475651189127972,59.3976833976834,40.6023166023166
2015-01-01,Pharmacy,Private,Andhra Pradesh,118.0,0.0,0.0,12990.0,3359.0,2169.0,7780.0,4732.0,1888.0,5528.0,34.1534008683068,85.60057887120117,0.7105398457583547,60.763386396526776,39.236613603473224
